name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Lithium Battery Packaging,Number of Lithium Ion Cells, ,Peso del envío,Pilas:,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        ASUS VivoBook BR349T. Intel Core i7. 8GB RAM. 1TB HDD. Windows 10. 15.6"". Gris
                    
                

                
                    
                    
                
            ",,,12 calificaciones,Asus,3.4 de 5 estrellas,Asus,ASUS X Series,Grey,19 millimeters,36.1 centimeter,15.6 inches,,Intel,Intel Core i7,2.5 GHz,8 GB,DDR3,DDR4 SDRAM,16 GB,1000 GB,,,,nvidia_geforce_940mx,,,,802.11bgn,,1,,Windows 10,65 watt_hours,Baterías integradas en el equipo,, ,2.7 Kg,"1 Litio Ion necesaria(s), incluida(s)",X510UQ-BR349T,26 de marzo de 2018
"
                
                    
                    
                

                
                    
                    
                        Lenovo Ideapad 530S Laptop de 14 Pulgadas
                    
                

                
                    
                    
                
            ","$21,748.02",,2 calificaciones,Lenovo,4.5 de 5 estrellas,Lenovo,IdeaPad 530s,Negro,15 millimeters,32.3 centimeter,14 inches,,AMD,Ryzen 5 2500U,2,8 GB,,,16 GB,,,Solid State,AMD Radeon Vega 8,,DDR4 SDRAM,,Integrado,802.11ac,,,None,Windows 10,45 watt_hours,Baterías integradas en el equipo,4, ,2.1 Kg,"1 Polímero de litio necesaria(s), incluida(s)",81H1000SUS,12 de octubre de 2018
"
                
                    
                    
                

                
                    
                    
                        HP 15-da0016la Laptop 15.6"" HD, Intel Core i7-8550U 1.8GHz, 4GB RAM, 1TB HDD, Gráficos Intel UHD 620, Windows 10
                    
                

                
                    
                    
                
            ",,,6 calificaciones,HP,4.2 de 5 estrellas,HP,15-da0016la,Gris,5 centimeter,40 centimeter,15.6 inches,1366 x 768 Pixeles,All winner,Intel Core i7,3 GHz,4 GB,DDR4-SDRAM,,1024 GB,1000 GB,,,Intel UHD Graphics 620,No disponible,,,,Bluetooth,1,2,,Windows 10,41 watt_hours,Baterías integradas en el equipo,2, ,2.5 Kg,"1 Lithium ion necesaria(s), incluida(s)",3PX68LA,30 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        HP W6B87LT Portátil 14"" Notebook 240 G5, Intel Celeron N3060 1.6 GHz, 4 GB, 500 GB HDD, Windows 10 Home, Color Negro
                    
                

                
                    
                    
                
            ",,,4 calificaciones,HP,3.5 de 5 estrellas,HP,ProBook,Negro,24 millimeters,24.1 centimeter,14 inches,1366 x 768 Pixeles,Intel,Intel Celeron,2.4 GHz,4 GB,DDR3L SDRAM,DDR3 SDRAM,8 GB,500 GB,SATA,ATA,,No disponible,,,,802.11ag,2,1,None,Windows 10 Home,2 watt_hours,Baterías dentro del paquete del equipo,, ,2.4 Kg,"1 Lithium Polymer necesaria(s), incluida(s)",W6B87LT,21 de septiembre de 2016
"
                
                    
                    
                

                
                    
                    
                        Acer Swift 5, 14"" Full HD Touch, 8th Gen Intel Core i5-8250U, 8GB LPDDR3, 256GB SSD, Windows 10, SF514-52T-50AQ
                    
                

                
                    
                    
                
            ","$26,344.49",,10 calificaciones,Acer,3.6 de 5 estrellas,Acer,,Charcoal Blue,15 millimeters,22.8 centimeter,14 inches,,Intel,Intel Core i5,1.6 GHz,8 GB,,,8 GB,256 GB,,,Intel UHD Graphics 620,,,,,802.11ac,,,None,Windows 10 Home,46 watt_hours,Baterías integradas en el equipo,2, ,1.9 Kg,"1 Litio Ion necesaria(s), incluida(s)",SF514-52T-50AQ,8 de octubre de 2017
"
                
                    
                    
                

                
                    
                    
                        ASUS Chromebook Flip C302CA-DH54 Gris, Plata 31.8 cm (12.5"") 1920 x 1080 Pixeles Pantalla táctil 1.1 GHz Intel® Core™ M m5-6Y54 - Ordenador portátil (Intel® Core™ M, 1.1 GHz, 31.8 cm (12.5""), 1920 x 1080 Pixeles, 4 GB, 64 GB)
                    
                

                
                    
                    
                
            ","$13,799.00",,"1,806 calificaciones",Asus,4.1 de 5 estrellas,Asus,C302CA-DH54,"Gris, Plata",13 millimeters,21.1 centimeter,12.5 inches,1920 x 1080 Pixeles,Intel,Athlon Dual Core,1.1 GHz,4 GB,A bordo,DDR3 SDRAM,4 GB,64 GB,Flash Memory Solid State,Solid State,Intel HD Graphics,No disponible,DDR3 SDRAM,,Integrado,802.11ac,,2,No,Chrome OS,39 watt_hours,Batteries contained in equipment,2, ,1.9 Kg,"1 Lithium Polymer necesaria(s), incluida(s)",C302CA-DH54,18 de agosto de 2017
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL ALIENWARE 15 15.6"", GEFORCE GTX 1060,  CORE i5 8 Gen. RAM 8GB, 1TB DD + 8GB SSD PLATA (A15CFL_i581T60W10s_119)
                    
                

                
                    
                    
                
            ","$50,479.15"," $53,358.67",1 calificación,Dell,5.0 de 5 estrellas,Dell,Alienware,,10 millimeters,38.9 centimeter,15.6 inches,,Intel,None,2.3 GHz,8 GB,DDR4,DDR4 SDRAM,32 GB,1024 GB,,,NVIDIA GeForce GTX 1060,nvidia_geforce_gtx_1060,,,,802.11ac,,3,,Windows 10,42 watt_hours,Baterías integradas en el equipo,, ,5.9 Kg,"1 Litio Ion necesaria(s), incluida(s)",A15CFL_i581T60W10s_119,11 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        2017 Lenovo 320-15ABR 15.6 ""HD Pantalla LCD con retroiluminación LED para PC, AMD A12-9720P 8GB DDR4 RAM 1TB HDD DVD WIFI Bluetooth HDMI AMD Radeon R7 Windows 10 -gris platino
                    
                

                
                    
                    
                
            ",,,31 calificaciones,Lenovo,3.9 de 5 estrellas,Lenovo,320-15ABR,Platino/Gris,23 millimeters,25.9 centimeter,15.6 inches,1366x768,AMD,AMD A Series,2.70 GHz,8 GB,"SO-DIMM, DDR4",DDR3 SDRAM,16 GB,1 TB,,Serial ATA,AMD Radeon R7,amd_radeon_r7,DDR3 SDRAM,,,802.11ac,,,,Windows 10,35 watt_hours,Baterías integradas en el equipo,2, ,2.7 Kg,1 Polímero de litio (Tipo de pila necesaria),320-15ABR,5 de octubre de 2017
"
                
                    
                    
                

                
                    
                    
                        Dell 2020 Inspiron 14"" Laptop 10th Gen Intel Quad-Core i5-1035G4, 8GB DDR4 RAM, 128 GB SSD, WiFi + Bluetooth, HDMI, i5-8265u | 8GB RAM | 256GB SSD
                    
                

                
                    
                    
                
            ",,,374 calificaciones,Dell,4.3 de 5 estrellas,Dell,i3583-i5-8gb-256gb,,20 millimeters,25.9 centimeter,15.6 inches,1366x768,Intel,Intel Core i5,1.60 GHz,8 GB,DDR4,DDR4 SDRAM,0.01 MB,256 GB,,Solid State,Intel UHD Graphics 620,Integrated,DDR4 SDRAM,,Integrado,802.11ac,1,,No Optical Drive,Windows 10,5 watt_hours,Baterías integradas en el equipo,2, ,2.8 Kg,"1 Polímero de litio necesaria(s), incluida(s)",,25 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL G7 17.3"", GEFORCE RTX 2060,  CORE i5 9 Gen. RAM 8GB, 1TB DD + 128SSD NEGRO (G717Vu_i5N8112860W10s_120)
                    
                

                
                    
                    
                
            ","$29,967.20"," $32,499.00",1 calificación,Dell,5.0 de 5 estrellas,Dell,COMDEL400,,37.5 centimeter,7.7 centimeter,17.3 inches,,Intel,Intel Core i5,2.3 GHz,8 GB,,,256 GB,1000 GB,,,,,,,,802.11b/g,,2,,Windows 10,60 watt_hours,Baterías dentro del paquete del equipo,4, ,4.6 Kg,"1 Polímero de litio necesaria(s), incluida(s)",COMDEL400,14 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Chromebook 11.6"", Intel Dual-Core Celeron N3350 Procesador (hasta 2,4 GHz) 4 GB de RAM, 32 GB de Almacenamiento eMMC, Gris, 11-11.99 Inches
                    
                

                
                    
                    
                
            ","$6,548.00",,75 calificaciones,Asus,3.8 de 5 estrellas,Asus,Chromebook C223,gris,18 millimeters,19.8 centimeter,11.6 inches,,Intel,Celeron N3350,2.4 GHz,4 GB,,DDR4 SDRAM,4 GB,32 GB,,Solid State,Intel HD Graphics 500,,Shared,,Integrado,"802.11a/b/g/n/ac, Bluetooth",,,None,Chrome OS,21 watt_hours,Baterías integradas en el equipo,2, ,1.6 Kg,"1 Polímero de litio necesaria(s), incluida(s)",C223NA-DH02,3 de enero de 2019
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL ALIENWARE M15 15.6"", GEFORCE RTX 2070,  CORE i7 8 Gen. RAM 16GB, 1TB DD + 256SSD PLATA (A15OR_i716125670W10s_120)
                    
                

                
                    
                    
                
            ","$55,511.04"," $61,599.00",,Alienware,,Alienware,Alienware m15,,10 millimeters,36.3 centimeter,15.6 inches,,Intel,Intel Core i7,4.1 GHz,16 GB,,,16 GB,1000 GB,,,NVIDIA GeForce RTX 2070,,,,,802.11ac,,,,Windows 10,60 watt_hours,Baterías integradas en el equipo,3, ,4.8 Kg,"1 Litio Ion necesaria(s), incluida(s)",A15OR_i716125670W10s_120,25 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        VAIO VJS131X0211B Laptop 13.3"" Full HD, Intel Core i5-6200U, 8 GB RAM, 128 GB (Solid State Drive) SSD, Windows 10 Home
                    
                

                
                    
                    
                
            ",,,22 calificaciones,VAIO,3.6 de 5 estrellas,VAIO,S,,21.7 centimeter,18 millimeters,13.3 inches,,Intel,Core i5 6200U,2.3 GHz,8 GB,,,8 GB,128 GB,,Serial ATA,integrated_graphics,,,,Integrado,802.11ac,,,None,Windows 10,31 watt_hours,Baterías integradas en el equipo,, ,2.2 Kg,1 Polímero de litio (Tipo de pila necesaria),VJS131X0211B,1 de marzo de 2016
"
                
                    
                    
                

                
                    
                    
                        Apple Laptop Macbook MUHP2E/A 13"" 256GB SSD Space Gray
                    
                

                
                    
                    
                
            ","$43,099.00",,,Apple,,Apple,,,,,13 inches,,Intel,Core i5 6402P,1.40 GHz,8 GB,LPDDR3,DDR3 SDRAM,,256 GB,,Solid State,,intel_iris,,,,,,,,macOS 10.14 Mojave,,,, ,2.1 Kg,,,23 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Spin 3 Convertible Laptop, 14"" Full HD IPS Touch, 8th Gen Intel Core I5-8265U, 8GB DDR4, 256GB PCIe Nvme SSD, Recargable Active Stylus, Windows 10 Home, SP314-53N-53SH
                    
                

                
                    
                    
                
            ","$19,549.08",,8 calificaciones,Acer,4.6 de 5 estrellas,Acer,SP314-53N-53SH,,20 millimeters,23.9 centimeter,14 inches,,Intel,Intel Core i5,3.9 GHz,8 GB,DDR4,,16 GB,256 GB,,Solid State,,Integrated,Shared,,Integrado,802.11ac,1,,None,Windows 10 Home,4515 milliamp_hours,Baterías integradas en el equipo,3, ,2.4 Kg,"1 Litio Ion necesaria(s), incluida(s)",SP314-53N-53SH,11 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Razer A638 RZ09-02887E52-R3U1 15.6 "", RTX 2070 | 144Hz FHD | 256GB SSD, Negro
                    
                

                
                    
                    
                
            ","$73,190.00",,106 calificaciones,Razer,4.0 de 5 estrellas,Razer,,Black,18 millimeters,35.5 centimeter,15.6 inches,,Intel,,4.1 GHz,16 GB,,,32 GB,,,Solid State,GeForce® RTX 2070 Max-Q,Dedicated,,,PCI-E,,,,None,Windows 10 Home,80 watt_hours,Baterías integradas en el equipo,4, ,4.2 Kg,"1 Polímero de litio necesaria(s), incluida(s)",RZ09-02887E91-R3U1,29 de enero de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Thinkpad E590_8_256_HD Parent, Negro, 16GB/512GB PCIe SSD
                    
                

                
                    
                    
                
            ",,,155 calificaciones,Lenovo,4.1 de 5 estrellas,Lenovo,E590 Notebook PC,Negro,20 millimeters,36.9 centimeter,15.6 inches,1366x768,Intel,Intel Core i5,1.60 GHz,16 GB,DDR4,DDR4 SDRAM,,512 GB,,PCIE x 4,Intel UHD Graphics 620,,,,,"802.11ac, Bluetooth",1,,,Windows 10 Pro,5 watt_hours,Baterías dentro del paquete del equipo,3, ,2.8 Kg,"1 Litio Ion necesaria(s), incluida(s)",E590 Business Laptop,29 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        Goodlife623 GPD Pocket 7"" visualización táctil carcasa de aluminio UMPC Windows 10 System CPU X7-Z8750 8GB/128GB 7000 mAh batería (plata)
                    
                

                
                    
                    
                
            ",,,3 calificaciones,GPD,5.0 de 5 estrellas,GPD,GPD Pocket,plateado,15 millimeters,11 centimeter,7 inches,,Intel,Intel Atom,1.60 GHz,8 GB,,DDR3 SDRAM,,128 GB,,USB 3.0,Intel HD Graphics,intel_hd,,,,802.11a,,,,Windows 10 Home,1 watt_hours,Baterías dentro del paquete del equipo,1, ,975 g,,,28 de octubre de 2017
"
                
                    
                    
                

                
                    
                    
                        HP 2019 14"" Laptop - Intel Core i3 - 8GB Memory - 128GB Solid State Drive - Ash Silver Keyboard Frame (14-CF0014DX)
                    
                

                
                    
                    
                
            ",,,648 calificaciones,HP,4.3 de 5 estrellas,HP,,,5.1 centimeter,57.4 centimeter,14 inches,,Intel,Intel Core i3,2.4 GHz,8 GB,,DDR4 SDRAM,128 GB,1 TB,,,,,,,AGP,"802.11b/g, 802.11bgn, 802.11b",1,,None,Windows 10,41 watt_hours,Baterías integradas en el equipo,3, ,2 Kg,"1 Litio-metal necesaria(s), incluida(s)",14-CF0014DX,1 de diciembre de 2018
"
                
                    
                    
                

                
                    
                    
                        Bean Information Technology Beantech Core+ - Ventanas de Doble Banda, 10.1"" 2 in 1 Computer, Plateado, 64GB Core+ 2 in 1 Computer
                    
                

                
                    
                    
                
            ","$5,159.74",,6 calificaciones,Bean Information Technology,2.3 de 5 estrellas,Bean Information Technology,"Core 10.1""",Plateado,,,10.1 inches,,Intel,Intel Atom,1.44 GHz,4 GB,,DDR3 SDRAM,4 GB,64 GB,,eSATA,,Integrated,DDR DRAM,,Integrado,Bluetooth,2,,N/A,Windows 10 Home,25.9 watt_hours,Baterías integradas en el equipo,1, ,1.7 Kg,"1 Litio Ion necesaria(s), incluida(s)",W10046ADS,2 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo LEGION Y530-15ICH Laptop 15.6"" FHD, Intel Core i7, 8GB RAM + Optane 16GB, 1TB HDD, Gráficos NVIDIA GTX 1050, Windows 10
                    
                

                
                    
                    
                
            ",,,16 calificaciones,Lenovo,4.2 de 5 estrellas,Lenovo,LEGION Y530-15ICH,Black,38 centimeter,13 centimeter,15.6 inches,,Intel,Intel Core i7,2.2 GHz,8 GB,DDR3,DDR SDRAM,16 GB,1024 GB,,Serial ATA,NVIDIA® GeForce® GTX 1050,nvidia_geforce_gtx_1050,DDR3 SDRAM,4 GB,,Bluetooth,3,4,,Windows 10,42 watt_hours,Baterías dentro del paquete del equipo,3, ,3.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",LEGION Y530-15ICH,18 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        Laptop Lenovo V330 Intel Core I5-8250U, Windows 10 Pro 64 bit, RAM 4GB, HDD 1TB, Tarjeta de Video Intel UHD Graphics 620, 14"", Color Gris Hierro
                    
                

                
                    
                    
                
            ","$12,499.00"," $14,999.00",,Lenovo,,Lenovo,Lenovo V330,Iron Grey,23 millimeters,34.3 centimeter,14 inches,,LENOVO,Intel Core i3,1.6 GHz,4 GB,,DDR4 SDRAM,16 GB,,,,Intel UHD Graphics 620,,,,,802.11g,,2,,W10 PRO STD,3 watt_hours,Baterías integradas en el equipo,3, ,2.4 Kg,"1 Litio Ion necesaria(s), incluida(s)",81B00011LM,21 de septiembre de 2018
"
                
                    
                    
                

                
                    
                    
                        HP 14-df0023cl Portátil 35.6 cm (14"") 1920 x 1080 Pixeles 2.2 GHz 8ª generación de procesadores Intel® Core™ i3 i3-8130U - Ordenador portátil (8ª generación de procesadores Intel® Core™ i3, 2.2 GHz, 35.6 cm (14""), 1920 x 1080 Pixeles, 4 GB, 128 GB)
                    
                

                
                    
                    
                
            ","$13,350.00",,21 calificaciones,HP,4.9 de 5 estrellas,HP,14-df0023cl,Plateado,20 millimeters,22.6 centimeter,14 inches,1920 x 1080 Pixeles,Intel,Intel Core i3,2.2 GHz,4 GB,DDR4-SDRAM,DDR SDRAM,,128 GB,,Solid State,Intel UHD Graphics 620,No disponible,,,,"802.11b, 802.11g",1,,No,Windows 10 Home,5 watt_hours,Baterías integradas en el equipo,3, ,2 Kg,"1 Lithium ion necesaria(s), incluida(s)",5JV97UA,28 de agosto de 2018
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL G7 17.3"", GEFORCE RTX 2060,  CORE i7 8 Gen. RAM 16GB, 1TB DD + 256SSD NEGRO (G717Vu_i7N16125660W10s_120)
                    
                

                
                    
                    
                
            ","$42,650.00",,14 calificaciones,Dell,3.6 de 5 estrellas,Dell,COMDEL750,Negro,10 millimeters,40.4 centimeter,17.3 inches,,Intel,Core i7 8750H,4.1,256 GB,DRAM,,16 GB,1000 GB,Flash Memory Solid State,,,Dedicated,DDR DRAM,,PCI-E,802.11ac,1,1,None,Windows 10 Home,60 watt_hours,Baterías dentro del paquete del equipo,4, ,4.7 Kg,"1 Litio Ion necesaria(s), incluida(s)",G717Vu_i7N16125660W10s_120,14 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        MSI Thin GF75 Laptop, 17.3"" FHD Display, Intel Core i7-9750H Upto 4.5GHz, 32GB RAM, 1TB NVMe SSD + 1TB HDD, NVIDIA GeForce GTX 1050 Ti, HDMI, Wi-Fi, Bluetooth, Windows 10 Pro
                    
                

                
                    
                    
                
            ",,,4 calificaciones,MSI,4.7 de 5 estrellas,MSI,Thin,Negro texturizado,23 millimeters,39.7 centimeter,17.3 inches,1920x1080,Intel,Core i7 Family,2.60 GHz,32 GB,,SODIMM,,1 TB,,Solid State,NVIDIA GeForce GTX 1050 Ti,Dedicated,,4.00,,802.11ac,,,,Windows 10,,Baterías integradas en el equipo,3, ,3.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",GF75,22 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        SAMSUNG Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Procesador N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US, Plateado, 15 Pulgadas
                    
                

                
                    
                    
                
            ",,,44 calificaciones,Samsung,4.5 de 5 estrellas,SAMSUNG,Chromebook 4+,Plateado,17 millimeters,24.5 centimeter,15.6 inches,,Intel,Celeron N3450,1.1 GHz,4 GB,,DDR4 SDRAM,4 GB,32 GB,,Ethernet,Intel Celeron Processor N4000,Integrated,Shared,,Integrado,801.11ac,,,No Optical Drive,Chrome OS,39 watt_hours,Baterías integradas en el equipo,2, ,2.3 Kg,"1 Lithium ion necesaria(s), incluida(s)",XE350XBA-K01US,27 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo COMLEN7840 Laptop V130 Intel Core I3-7020UN, 8 GB, 14 Pulgadas, Windows 10 Pro, 1 TB
                    
                

                
                    
                    
                
            ","$11,999.00",,,Lenovo,,Lenovo,COMLEN7840,GRIS HIERRO,,,14 inches,,Intel,Core i3 Family,2.3,1 TB,DRAM,GDDR4,8 GB,,Flash Memory Solid State,,,Integrated,DDR DRAM,,Integrado,,1,1,None,Windows 10 Pro,,,, ,2.3 Kg,,,16 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Nitro 5 AN515-54-51M5-15.6"" - i5-9300H - NVIDIA GTX 1650-8GB - 1TB HDD+128GB SSD
                    
                

                
                    
                    
                
            ","$23,633.51",,3 calificaciones,Acer,5.0 de 5 estrellas,Acer,,,,,15.6 inches,,Intel,Intel Core i5,,8 GB,,DDR3 SDRAM,,1000,,,,dedicated,DDR DRAM,,Integrado,"2,4 GHz radiofrecuencia, Bluetooth",,,No Optical Drive,Windows 10 Home,,,, ,4.1 Kg,1 Litio Ion (Tipo de pila necesaria),AN515-54-51M5,9 de mayo de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop ZenBook Duo 14"", GeForce MX250, Core i5 10a Gen, 8GB RAM, 512GB SSD, UX481FL-BM066R
                    
                

                
                    
                    
                
            ","$33,999.00"," $39,999.00",,Asus,,Asus,UX481FL-BM066R,,23.1 centimeter,5.5 centimeter,14 inches,,Intel,Core i5-10210U,1.6 GHz,8 GB,GDDR5,,8 GB,,Unidad híbrida,PCIE x 8,NVIDIA GeForce MX250,Integrada,GDDR5,8 GB,Integrado,,,3,Ninguno,Windows 10 Pro,1 kilowatt_hours,Baterías integradas en el equipo,1, ,3.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",90NB0P61-M03070,6 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Laptop Asus S510UA-DS7 15.6""  8GB RAM 1128 GB HDD Intel HD Graphics 620  Windows 10, teclado en inglés - Color oro
                    
                

                
                    
                    
                
            ","$19,999.00",,204 calificaciones,Asus,4.3 de 5 estrellas,Asus,ASUS,Oro,18 millimeters,24.4 centimeter,15.6 inches,1920 x 1080 Pixeles,AMD,Athlon Dual Core,1.8 GHz,8 GB,DDR4-SDRAM,DDR4 SDRAM,16 GB,1128 GB,Hybrid Drive,Serial ATA,Intel HD Graphics 620,No disponible,,,Integrado,"802.11a/b/g/n/ac, Bluetooth",2,2,No,Windows 10,42 watt_hours,Baterías integradas en el equipo,3, ,2.5 Kg,"1 Lithium ion necesaria(s), incluida(s)",S510UA-DS71,24 de enero de 2018
"
                
                    
                    
                

                
                    
                    
                        Asus VivoBook Core i7-9700K 3.6GHz 14"" Ultra Slim 200nits HD R420MA-DS06-BL 3.66GHz 14"" Ultra Slim 200nits HD R420MA-DS06-BL
                    
                

                
                    
                    
                
            ",,,8 calificaciones,Asus,2.2 de 5 estrellas,Asus,R420MA-DS06-BL,,26.9 centimeter,7.6 centimeter,14 inches,,Intel,,,4 GB,DDR4,,4 GB,64 GB,,eSATA,,Integrated,DDR4 SDRAM,,Integrado,802.11ac,,,None,Windows 10 Home,56 watt_hours,Baterías integradas en el equipo,3, ,2 Kg,"3 Litio Ion necesaria(s), incluida(s)",R420MA-DS06-BL,18 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Thinkpad L480 Parent 3GHz E5420 Torre Puesto de Trabajo, 8GB|256GB PCIe SSD
                    
                

                
                    
                    
                
            ",,,266 calificaciones,Lenovo,4.0 de 5 estrellas,Lenovo,Lenovo 330-15AST,,25 millimeters,26 centimeter,14 inches,1366x768,AMD,,,8 GB,DDR4,DDR4 SDRAM,8 GB,256 GB,,Solid State,AMD Radeon R5 Graphic,Integrated,DDR3 SDRAM,,Integrado,"Bluetooth, 802.11ac",,,DVD-RW,Windows 10,48 watt_hours,Baterías dentro del paquete del equipo,3, ,2.7 Kg,"1 Litio Ion necesaria(s), incluida(s)",Ideapad 330 15,21 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        HP 15-da0011la Laptop 15.6"" HD, Intel Core i5 1.6GHz, 8GB RAM, 1TB HDD, NVIDIA GeForce MX110, Windows 10
                    
                

                
                    
                    
                
            ","$17,899.00",,18 calificaciones,HP,4.5 de 5 estrellas,HP,15-DA0011LA,Rojo,24.6 centimeter,23 millimeters,15.6 inches,1366 x 768 Pixeles,Intel,Intel Core i5,1.6 GHz,8 GB,DDR4-SDRAM,GDDR3,8 GB,1000 GB,,Serial ATA,,NVIDIA GeForce MX110,,,,802.11bgn,1,2,No,Windows 10,41 watt_hours,Baterías integradas en el equipo,1, ,2.6 Kg,"1 Lithium ion necesaria(s), incluida(s)",3PX36LA#ABM,30 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        Acer Laptop Aspire 1 A115-31-C23T Celeron N4000 4GB 64GB eMMC 15 HD Wind10
                    
                

                
                    
                    
                
            ","$9,499.00",,17 calificaciones,Acer,3.9 de 5 estrellas,Acer,Aspire One,Negro,11.4 centimeter,36.3 centimeter,15.6 inches,1366 x 768,Intel,Celeron N,1.10 GHz,4 GB,DDR4,DDR4 SDRAM,,64 GB,,Serial ATA-600,Intel UHD Graphics 600,Integrated,DDR4 SDRAM,,Integrado,Bluetooth,1,,No Optical Drive,Windows 10,52 watt_hours,Baterías integradas en el equipo,3, ,2.6 Kg,1 Polímero de litio (Tipo de pila necesaria),Aspire 1,1 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop ThinkPad A485, Procesador AMD Ryzen 3 Pro 2300U 3,40 GHz, Sistema Operativo Windows 10 Pro, Memoria DDR4 de 8 GB. 2400 MHz SODIMM, Disco Duro de Estado sólido 512 GB. m.2. 2280, PCIe, Opal 2.0, Cámara HD 720p con micrófono, Teclado español, Batería trasera de 6 celdas, Pantalla IPS de 35.6 cm. 14” FHD(1920*1080) NO táctil.
                    
                

                
                    
                    
                
            ","$14,980.00",,,Lenovo,,Lenovo,,,,,14 inches,,AMD Ryzen 3 PRO 2300U,Ryzen 3 2300U,3.40 GHz,8 GB,"SO-DIMM, DDR4",GDDR4,,512 GB,,Solid State,,,,,,,,,,Windows 10 Pro,,,, ,,,,4 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Panasonic Toughbook CF-31 3ª generación, 8 GB | 240 SSD
                    
                

                
                    
                    
                
            ","$12,700.72",,16 calificaciones,Amazon Renewed,4.3 de 5 estrellas,Toughbook,CF-31,,,,13.1 inches,,Intel,Core i5-3340M,2.70 GHz,8 GB,DDR3,DDR3 SDRAM,,240 GB,,Serial ATA-300,Intel HD Graphics,Integrated,,,,Bluetooth,,,,Windows 10,87 watt_hours,Baterías integradas en el equipo,1, ,4.9 Kg,"1 Litio Ion necesaria(s), incluida(s)",CF-31,7 de marzo de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Inspiron I5480 Pantalla 15.6”, Intel Core i5, 8 GB RAM, 256 GB SSD, NVIDIA GeForce MX250 2GB, Windows 10
                    
                

                
                    
                    
                
            ","$21,099.00",,2 calificaciones,Dell,5.0 de 5 estrellas,Dell,Inspiron 14 5000,Gris/Negro,8 millimeters,32.4 centimeter,14 inches,,Intel,Intel Core i5,3.9 GHz,8 GB,,,32 GB,,,,NVIDIA GeForce MX250,,,,,802.11ac,,,,Windows 10,42 watt_hours,Baterías integradas en el equipo,3, ,2.3 Kg,"1 Litio Ion necesaria(s), incluida(s)",I5480_i58252GSW10s_120,5 de agosto de 2019
